sepal length,sepal width,petal length,petal width,iris
0.22222215,0.625,0.0677966,0.041666664,Iris-setosa
0.16666664,0.41666666,0.0677966,0.041666664,Iris-setosa
0.11111101,0.5,0.05084745,0.041666664,Iris-setosa
0.083333254,0.45833328,0.084745765,0.041666664,Iris-setosa
0.1944444,0.6666666,0.0677966,0.041666664,Iris-setosa
0.30555552,0.7916667,0.11864407,0.125,Iris-setosa
0.083333254,0.5833334,0.0677966,0.083333336,Iris-setosa
0.1944444,0.5833334,0.084745765,0.041666664,Iris-setosa
0.027777752,0.37500003,0.0677966,0.041666664,Iris-setosa
0.16666664,0.45833328,0.084745765,0.0,Iris-setosa
0.30555552,0.7083333,0.084745765,0.041666664,Iris-setosa
0.1388889,0.5833334,0.10169492,0.041666664,Iris-setosa
0.1388889,0.41666666,0.0677966,0.0,Iris-setosa
0.0,0.41666666,0.016949156,0.0,Iris-setosa
0.4166667,0.8333333,0.033898313,0.041666664,Iris-setosa
0.3888888,1.0,0.084745765,0.125,Iris-setosa
0.30555552,0.7916667,0.05084745,0.125,Iris-setosa
0.22222215,0.625,0.0677966,0.083333336,Iris-setosa
0.3888888,0.74999994,0.11864407,0.083333336,Iris-setosa
0.22222215,0.74999994,0.084745765,0.083333336,Iris-setosa
0.30555552,0.5833334,0.11864407,0.041666664,Iris-setosa
0.22222215,0.7083333,0.084745765,0.125,Iris-setosa
0.083333254,0.6666666,0.0,0.041666664,Iris-setosa
0.22222215,0.5416666,0.11864407,0.16666666,Iris-setosa
0.1388889,0.5833334,0.15254237,0.041666664,Iris-setosa
0.1944444,0.41666666,0.10169492,0.041666664,Iris-setosa
0.1944444,0.5833334,0.10169492,0.125,Iris-setosa
0.2499999,0.625,0.084745765,0.041666664,Iris-setosa
0.2499999,0.5833334,0.0677966,0.041666664,Iris-setosa
0.11111101,0.5,0.10169492,0.041666664,Iris-setosa
