sepal length,sepal width,petal length,petal width,iris
-1.5065227,0.80065465,-1.3412725,-1.1815039,Iris-setosa
1.5226749,-0.12495736,1.2176846,1.1850091,Iris-virginica
1.1591716,-0.58776337,0.59216183,0.2646985,Iris-versicolor
0.6744998,-0.35636008,0.30783325,0.13322552,Iris-versicolor
0.9168354,-0.35636008,0.4784302,0.13322552,Iris-versicolor
0.79566765,-0.58776337,0.4784302,0.39617148,Iris-versicolor
-0.052507486,-0.8191661,0.7627588,0.92206323,Iris-virginica
-0.052507486,2.1890721,-1.4550039,-1.312977,Iris-setosa
-0.7795154,2.4204748,-1.2844068,-1.4444498,Iris-setosa
-0.53717923,1.9576694,-1.3981383,-1.0500311,Iris-setosa
0.79566765,-0.12495736,0.9902217,0.7905903,Iris-virginica
-1.5065227,0.33784863,-1.3412725,-1.312977,Iris-setosa
-1.3853549,0.33784863,-1.3981383,-1.312977,Iris-setosa
0.55333203,-1.7447782,0.36469892,0.13322552,Iris-versicolor
0.6744998,-0.8191661,0.87649035,0.92206323,Iris-virginica
0.4321637,0.80065465,0.93335605,1.447955,Iris-virginica
0.79566765,-0.12495736,1.1608189,1.3164822,Iris-virginica
0.6744998,0.33784863,0.42156455,0.39617148,Iris-versicolor
-0.90068316,1.0320574,-1.3412725,-1.312977,Iris-setosa
-0.29484364,-0.8191661,0.25096732,0.13322552,Iris-versicolor
2.1285145,-0.12495736,1.6157445,1.1850091,Iris-virginica
0.6744998,-0.58776337,1.0470873,1.1850091,Iris-virginica
-0.052507486,-1.0505694,0.137236,0.0017526889,Iris-versicolor
1.6438427,0.33784863,1.2745502,0.7905903,Iris-virginica
-0.052507486,-0.8191661,0.7627588,0.92206323,Iris-virginica
0.79566765,-0.12495736,0.8196244,1.0535363,Iris-virginica
1.4015071,0.33784863,0.5352959,0.2646985,Iris-versicolor
-0.90068316,0.80065465,-1.2844068,-1.312977,Iris-setosa
0.1898281,-0.35636008,0.42156455,0.39617148,Iris-versicolor
0.1898281,0.80065465,0.42156455,0.52764446,Iris-versicolor
-0.17367585,-1.0505694,-0.14709255,-0.26119328,Iris-versicolor
0.6744998,0.106445365,0.9902217,0.7905903,Iris-virginica
-1.1430187,0.106445365,-1.2844068,-1.4444498,Iris-setosa
0.31099588,-0.12495736,0.64902747,0.7905903,Iris-virginica
-0.17367585,-0.35636008,0.25096732,0.13322552,Iris-versicolor
0.1898281,-1.9761808,0.137236,-0.26119328,Iris-versicolor
-1.2641865,-0.12495736,-1.3412725,-1.1815039,Iris-setosa
-0.052507486,-0.8191661,0.19410166,-0.26119328,Iris-versicolor
1.0380032,0.106445365,0.36469892,0.2646985,Iris-versicolor
-0.90068316,0.56925136,-1.1706753,-0.91855806,Iris-setosa
-1.021851,1.0320574,-1.2275411,-0.78708506,Iris-setosa
-0.90068316,1.7262661,-1.2275411,-1.312977,Iris-setosa
-0.29484364,-0.12495736,0.19410166,0.13322552,Iris-versicolor
-1.2641865,0.80065465,-1.056944,-1.312977,Iris-setosa
-0.17367585,3.114684,-1.2844068,-1.0500311,Iris-setosa
-0.53717923,0.80065465,-1.2844068,-1.0500311,Iris-setosa
-0.17367585,-0.58776337,0.19410166,0.13322552,Iris-versicolor
0.9168354,-0.12495736,0.36469892,0.2646985,Iris-versicolor
0.068660304,0.33784863,0.59216183,0.7905903,Iris-versicolor
-0.41601142,-1.0505694,0.36469892,0.0017526889,Iris-versicolor
0.4321637,-0.58776337,0.59216183,0.7905903,Iris-virginica
1.0380032,0.106445365,0.5352959,0.39617148,Iris-versicolor
-0.90068316,1.7262661,-1.2844068,-1.1815039,Iris-setosa
-0.29484364,-0.12495736,0.42156455,0.39617148,Iris-versicolor
-0.90068316,-1.2819722,-0.4314211,-0.1297203,Iris-versicolor
0.55333203,-0.8191661,0.64902747,0.7905903,Iris-virginica
-1.1430187,-0.12495736,-1.3412725,-1.312977,Iris-setosa
0.6744998,0.33784863,0.87649035,1.447955,Iris-virginica
0.6744998,-0.58776337,1.0470873,1.3164822,Iris-virginica
-0.052507486,-0.8191661,0.080370344,0.0017526889,Iris-versicolor
