sepal length,sepal width,petal length,petal width,iris
0.44444442,0.41666666,0.5423728,0.5833333,Iris-versicolor
0.94444436,0.41666666,0.86440676,0.9166666,Iris-virginica
0.083333254,0.45833328,0.084745765,0.041666664,Iris-setosa
0.1944444,0.6666666,0.0677966,0.041666664,Iris-setosa
0.47222218,0.2916667,0.69491524,0.625,Iris-versicolor
0.49999994,0.41666666,0.66101694,0.70833325,Iris-virginica
0.5555556,0.3333333,0.69491524,0.5833333,Iris-virginica
0.5833333,0.5,0.59322035,0.5833333,Iris-versicolor
0.30555552,0.5833334,0.11864407,0.041666664,Iris-setosa
0.33333328,0.20833333,0.5084746,0.49999994,Iris-versicolor
0.5555556,0.5833334,0.779661,0.9583334,Iris-virginica
0.1388889,0.45833328,0.10169492,0.041666664,Iris-setosa
0.44444442,0.5,0.6440678,0.70833325,Iris-versicolor
0.47222218,0.41666666,0.6440678,0.70833325,Iris-virginica
0.30555552,0.7083333,0.084745765,0.041666664,Iris-setosa
0.36111104,0.41666666,0.59322035,0.5833333,Iris-versicolor
0.7222222,0.45833328,0.69491524,0.9166666,Iris-virginica
0.36111104,0.37500003,0.44067794,0.49999994,Iris-versicolor
0.2499999,0.2916667,0.49152544,0.5416666,Iris-versicolor
0.5833333,0.3333333,0.779661,0.875,Iris-virginica
0.22222215,0.5833334,0.084745765,0.041666664,Iris-setosa
0.49999994,0.3333333,0.5084746,0.49999994,Iris-versicolor
0.3888888,0.20833333,0.6779661,0.7916666,Iris-virginica
0.5277777,0.37500003,0.55932206,0.49999994,Iris-versicolor
0.1944444,0.5416666,0.0677966,0.041666664,Iris-setosa
0.2499999,0.5833334,0.0677966,0.041666664,Iris-setosa
0.027777752,0.41666666,0.05084745,0.041666664,Iris-setosa
0.1944444,0.12499998,0.3898305,0.37499997,Iris-versicolor
0.74999994,0.5,0.6271186,0.5416666,Iris-versicolor
0.5833333,0.37500003,0.55932206,0.49999994,Iris-versicolor
